ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes,Win Loss,Is Winner,Confidence Level,Is Enhanced,Source
2025_02_SF_NO_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 56.7% confidence (FPI-adjusted),,2025-10-24T23:07:21.488479+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_SF_NO_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 40.5 with 79.5% confidence,,2025-10-24T23:07:21.488817+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_TB_HOU_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 58.7% confidence (FPI-adjusted),,2025-10-24T23:07:21.489169+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_TB_HOU_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 42.5 with 79.9% confidence,,2025-10-24T23:07:21.489376+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_02_WAS_GB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 77.3% confidence (FPI-adjusted),,2025-10-24T23:07:21.491053+00:00,,,WIN,True,LOW,True,firebase_existing
2025_02_WAS_GB_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 48.5 with 51.8% confidence,,2025-10-24T23:07:21.491340+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_ARI_SF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 54.8% confidence (FPI-adjusted),,2025-10-24T23:07:21.491589+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_ARI_SF_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 67.2% confidence,,2025-10-24T23:07:21.491757+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_ATL_CAR_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 73.8% confidence (FPI-adjusted),,2025-10-24T23:07:21.491908+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_ATL_CAR_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 69.7% confidence,,2025-10-24T23:07:21.492373+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_CIN_MIN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 50.2% confidence (FPI-adjusted),,2025-10-24T23:07:21.493147+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_CIN_MIN_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 53.5% confidence,,2025-10-24T23:07:21.493639+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_DAL_CHI_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 68.5% confidence (FPI-adjusted),,2025-10-24T23:07:21.497592+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_DAL_CHI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 49.5 with 84.1% confidence,,2025-10-24T23:07:21.497833+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_DEN_LAC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 55.7% confidence (FPI-adjusted),,2025-10-24T23:07:21.498206+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_DEN_LAC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 45.5 with 75.1% confidence,,2025-10-24T23:07:21.498574+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_DET_BAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 72.4% confidence (FPI-adjusted),,2025-10-24T23:07:21.498914+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_DET_BAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 53.5 with 54.5% confidence,,2025-10-24T23:07:21.499168+00:00,,,WIN,True,LOW,True,firebase_existing
