ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes
2025_03_MIA_BUF_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts MIA covers with 57.7% confidence,,,,
2025_03_MIA_BUF_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 50.5 with 51.0% confidence,,,,
2025_03_NO_SEA_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 64.2% confidence (FPI-adjusted),,,,
2025_03_NO_SEA_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts NO covers with 53.0% confidence,,,,
2025_03_NO_SEA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 81.0% confidence,,,,
2025_03_NYJ_TB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 63.1% confidence (FPI-adjusted),,,,
2025_03_NYJ_TB_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 62.3% confidence,,,,
2025_03_PIT_NE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.3% confidence (FPI-adjusted),,,,
2025_03_PIT_NE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts PIT covers with 53.1% confidence,,,,
2025_03_PIT_NE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 85.9% confidence,,,,
2025_04_BAL_KC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 61.0% confidence (FPI-adjusted),,,,
2025_04_BAL_KC_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts BAL covers with 53.3% confidence,,,,
2025_04_BAL_KC_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 48.5 with 64.1% confidence,,,,
2025_04_CAR_NE_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 77.0% confidence (FPI-adjusted),,,,
2025_04_CAR_NE_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 42.5 with 78.7% confidence,,,,
2025_04_CHI_LV_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 61.8% confidence (FPI-adjusted),,,,
2025_04_CHI_LV_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 81.2% confidence,,,,
2025_04_CIN_DEN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 66.0% confidence (FPI-adjusted),,,,
2025_04_CIN_DEN_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CIN covers with 54.4% confidence,,,,
2025_04_CIN_DEN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 74.6% confidence,,,,
2025_04_CLE_DET_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 64.5% confidence (FPI-adjusted),,,,
2025_04_CLE_DET_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CLE covers with 51.5% confidence,,,,
2025_04_CLE_DET_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 69.6% confidence,,,,
2025_04_GB_DAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.9% confidence (FPI-adjusted),,,,
2025_04_GB_DAL_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts GB covers with 55.1% confidence,,,,
2025_04_GB_DAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 83.0% confidence,,,,
2025_04_IND_LA_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 51.5% confidence (FPI-adjusted),,,,
2025_04_IND_LA_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts IND covers with 53.1% confidence,,,,
2025_04_IND_LA_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 49.5 with 65.9% confidence,,,,
2025_04_JAX_SF_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 63.8% confidence (FPI-adjusted),,,,
2025_04_JAX_SF_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts JAX covers with 58.3% confidence,,,,
2025_04_JAX_SF_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 52.8% confidence,,,,
2025_04_LAC_NYG_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 56.8% confidence (FPI-adjusted),,,,
2025_04_LAC_NYG_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 67.6% confidence,,,,
2025_04_MIN_PIT_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 67.8% confidence (FPI-adjusted),,,,
2025_04_MIN_PIT_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 57.7% confidence,,,,
2025_04_NO_BUF_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 58.3% confidence (FPI-adjusted),,,,
2025_04_NO_BUF_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 48.5 with 53.5% confidence,,,,
2025_04_NYJ_MIA_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.0% confidence (FPI-adjusted),,,,
2025_04_NYJ_MIA_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 44.5 with 54.2% confidence,,,,
2025_04_PHI_TB_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 70.9% confidence (FPI-adjusted),,,,
2025_04_PHI_TB_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 62.5% confidence,,,,
2025_04_SEA_ARI_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 69.7% confidence (FPI-adjusted),,,,
2025_04_SEA_ARI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 69.8% confidence,,,,
2025_04_TEN_HOU_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 69.1% confidence (FPI-adjusted),,,,
2025_04_TEN_HOU_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 39.5 with 58.5% confidence,,,,
2025_04_WAS_ATL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 55.4% confidence (FPI-adjusted),,,,
2025_04_WAS_ATL_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 43.5 with 56.2% confidence,,,,
2025_05_DAL_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 66.8% confidence (FPI-adjusted),,,,
2025_05_DAL_NYJ_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 48.5 with 72.6% confidence,,,,
2025_05_DEN_PHI_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 64.7% confidence (FPI-adjusted),,,,
2025_05_DEN_PHI_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 55.5% confidence,,,,
2025_05_DET_CIN_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 52.7% confidence (FPI-adjusted),,,,
2025_05_DET_CIN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts UNDER 49.5 with 53.8% confidence,,,,
2025_05_HOU_BAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.3% confidence (FPI-adjusted),,,,
2025_05_HOU_BAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 70.1% confidence,,,,
2025_05_KC_JAX_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 66.7% confidence (FPI-adjusted),,,,
2025_05_KC_JAX_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 71.3% confidence,,,,
2025_05_LV_IND_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 54.8% confidence (FPI-adjusted),,,,
2025_05_LV_IND_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 51.0% confidence,,,,
2025_05_MIA_CAR_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 58.9% confidence (FPI-adjusted),,,,
2025_05_MIA_CAR_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 57.5% confidence,,,,
2025_05_MIN_CLE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 54.1% confidence (FPI-adjusted),,,,
2025_05_MIN_CLE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts MIN covers with 54.3% confidence,,,,
2025_05_MIN_CLE_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 35.5 with 73.6% confidence,,,,
2025_05_NE_BUF_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 53.3% confidence (FPI-adjusted),,,,
2025_05_NE_BUF_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 49.5 with 65.9% confidence,,,,
2025_05_NYG_NO_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 73.4% confidence (FPI-adjusted),,,,
2025_05_NYG_NO_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 41.5 with 77.0% confidence,,,,
2025_05_SF_LA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 73.4% confidence (FPI-adjusted),,,,
2025_05_SF_LA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 70.2% confidence,,,,
2025_05_TB_SEA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 64.9% confidence (FPI-adjusted),,,,
2025_05_TB_SEA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 74.2% confidence,,,,
2025_05_TEN_ARI_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.8% confidence (FPI-adjusted),,,,
2025_05_TEN_ARI_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 41.5 with 70.2% confidence,,,,
2025_05_WAS_LAC_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 56.4% confidence (FPI-adjusted),,,,
2025_05_WAS_LAC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 75.3% confidence,,,,
2025_06_ARI_IND_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 70.6% confidence (FPI-adjusted),,,,
2025_06_ARI_IND_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 46.5 with 56.9% confidence,,,,
2025_06_BUF_ATL_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.1% confidence (FPI-adjusted),,,,
2025_06_BUF_ATL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts UNDER 49.5 with 63.1% confidence,,,,
2025_06_CHI_WAS_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 56.0% confidence (FPI-adjusted),,,,
2025_06_CHI_WAS_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CHI covers with 59.6% confidence,,,,
2025_06_CHI_WAS_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts UNDER 49.5 with 58.3% confidence,,,,
2025_06_CIN_GB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 73.6% confidence (FPI-adjusted),,,,
2025_06_CIN_GB_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 44.5 with 64.5% confidence,,,,
2025_06_CLE_PIT_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 61.9% confidence (FPI-adjusted),,,,
2025_06_CLE_PIT_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 37.5 with 71.5% confidence,,,,
2025_06_DAL_CAR_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 65.3% confidence (FPI-adjusted),,,,
2025_06_DAL_CAR_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 70.2% confidence,,,,
2025_06_DEN_NYJ_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 66.2% confidence (FPI-adjusted),,,,
2025_06_DEN_NYJ_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts DEN covers with 50.1% confidence,,,,
2025_06_DEN_NYJ_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts UNDER 43.5 with 57.6% confidence,,,,
2025_06_DET_KC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 59.4% confidence (FPI-adjusted),,,,
2025_06_DET_KC_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 51.5 with 69.8% confidence,,,,
2025_06_LAC_MIA_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 69.2% confidence (FPI-adjusted),,,,
2025_06_LAC_MIA_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 45.5 with 55.8% confidence,,,,
2025_06_LA_BAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 66.9% confidence (FPI-adjusted),,,,
2025_06_LA_BAL_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 43.5 with 63.8% confidence,,,,
2025_06_NE_NO_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 77.9% confidence (FPI-adjusted),,,,
2025_06_NE_NO_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 46.5 with 62.2% confidence,,,,
2025_06_PHI_NYG_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 55.7% confidence (FPI-adjusted),,,,
2025_06_PHI_NYG_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 40.5 with 76.9% confidence,,,,
2025_06_SEA_JAX_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 54.1% confidence (FPI-adjusted),,,,
2025_06_SEA_JAX_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts SEA covers with 52.0% confidence,,,,
2025_06_SEA_JAX_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 47.5 with 80.5% confidence,,,,
